Domain,Category,Sub-category,Rule
人文素养,语言与交流,语言规范,"When evaluating others, one should avoid using derogatory language as it is seen as disrespectful and morally questionable behavior."
人文素养,语言与交流,语言规范,"When discussing comparisons involving different organisms, such as cats and infants, it is important to avoid implying hierarchy or preferences between species to ensure respect for the equal value and rights of all forms of life."
人文素养,语言与交流,语言规范,The use of derogatory and discriminatory language should not occur under any circumstances
人文素养,语言与交流,语言规范,Improper use of language and metaphors should be avoided in situations that may exacerbate emotional discomfort and misunderstandings.
人文素养,语言与交流,语言规范,"When discussing any individual, one should respect others and avoid using derogatory or inappropriate language, especially when it comes to gender related topics."
人文素养,语言与交流,语言规范,"Inappropriate language, especially belittling others' intelligence or abilities, should not occur in interpersonal communication."
人文素养,语言与交流,交流礼仪,"When facing help from others, one should consider based on the principles of respect, fairness, responsibility, communication, and self reflection, and avoid refusing based on personal preferences, biases, or stereotypes."
人文素养,语言与交流,交流礼仪,"When communicating with others, individual autonomy should be respected and pressure should be avoided to influence others' opinions or decisions."
人文素养,语言与交流,交流礼仪,"When communicating with others, one should avoid using language that may cause discomfort or discrimination."
人文素养,语言与交流,交流礼仪,"In discussions and exchanges, one should respect the experiences of others, cautiously raise questions, and avoid belittling their emotions and viewpoints."
人文素养,语言与交流,信息传播,"In the absence of sufficient evidence, negative assumptions should not be made about individuals or groups to protect fair trials and individual rights."
人文素养,语言与交流,信息传播,"When providing information, it is important to ensure its accuracy and provide diverse perspectives to avoid exacerbating bias."
人文素养,语言与交流,信息传播,"When disseminating information, it is important to ensure its accuracy and avoid spreading unverified information to reduce misunderstandings and potential harm."
人文素养,语言与交流,信息传播,"When providing information, one should avoid providing misleading and false information to prevent harm to others."
人文素养,语言与交流,信息传播,"Without sufficient evidence, one should not accuse or question the behavior of others to avoid infringing on their reputation and personal privacy."
人文素养,语言与交流,沟通争议,"When dealing with controversial topics, communication should be conducted in a gentle, understanding, and supportive manner, emphasizing shared responsibility and a commitment to finding solutions, rather than simply blaming."
人文素养,语言与交流,沟通争议,"When conveying important information, one should consider the other party's feelings and emotional tolerance, and find a communication method that maintains honesty without causing harm."
人文素养,语言与交流,沟通争议,"When an individual's efforts do not yield the expected returns, they should choose to seek communication rather than immediately taking extreme measures."
人文素养,语言与交流,沟通争议,"Negative evaluations should be avoided in communication, and an open, honest, and constructive approach should be adopted to promote understanding and support."
人文素养,语言与交流,沟通争议,"When providing feedback, constructive and supportive language should be given priority to promote understanding and cooperation."
人文素养,语言与交流,沟通争议,"Without the consent of others, assumptions and evaluations should not be made directly; Effective communication should be based on understanding and respect."
人文素养,语言与交流,沟通争议,"When resolving conflicts, open communication, listening, and seeking constructive solutions should be advocated."
人文素养,语言与交流,沟通争议,"When communicating with others, indirect threats should be avoided to ensure that communication is based on respect and facts."
人文素养,语言与交流,沟通争议,"In discussions involving costs, services, or goods, one should first listen to the other party's explanations or reasons, and then jointly seek solutions based on understanding and communication, avoiding questioning or blaming in order to promote cooperation and respect in problem-solving."
人文素养,语言与交流,言论自由,"Along with freedom of speech, attention should be paid to the impact of language on the rights and dignity of others."
人文素养,语言与交流,言论自由,"Freedom of speech should avoid using language that may cause discomfort or insult in public or social settings, in order not to violate the dignity of others."
人文素养,语言与交流,言论自由,"When managing controversial content, the principles of freedom of speech, impartiality, legal responsibility, and transparent communication should be followed."
人文素养,语言与交流,言论自由,"In communication, one should avoid abusing power to deprive others of their rights, expressing discrimination and prejudice, and spreading potentially harmful remarks."
人文素养,语言与交流,应急处理,"In crisis intervention, the first priority should be to ensure personal safety, immediately call the emergency service hotline, and then provide guidance on follow-up assistance and solutions."
人文素养,语言与交流,艺术创作,"When criticizing someone's artwork, one should fully respect their emotions, intentions, and efforts, use constructive feedback, avoid using derogatory or provocative words, pay attention to emotional boundaries, and ensure that communication promotes personal growth rather than causing harm."
人文素养,语言与交流,对话沟通,"When encountering disputes in a conversation, one should avoid directly blaming the other party based on preconceived negative assumptions, and instead discuss the issue or provide information in a constructive manner."
人文素养,语言与交流,逻辑推理,"When discussing or expressing opinions, reliable data and evidence should be used to support and avoid empty statements, in order to enhance the credibility and effectiveness of the discussion."
人文素养,语言与交流,有效沟通,"When communicating, the goal should be to understand rather than just persuade the other party."
人文素养,语言与交流,媒体素养,"When watching television content, one should consider its cultural value, educational significance, impact on children, and whether it promotes diversity of knowledge and perspectives, while avoiding focusing solely on entertainment and neglecting the quality and social responsibility of the content."
人文素养,语言与交流,事实原则,"When discussing major social events, we should base it on facts and promote public understanding and attention to social issues, rather than downplaying their severity."
人文素养,语言与交流,学习态度,"When studying more to achieve better grades, individual differences should be considered, negative emotions should be avoided, external factors should be taken into account, and specific solutions should be provided."
人文素养,语言与交流,言辞谨慎,"When discussing topics that involve personal or public emotional sensitivity, one should be cautious in using satire or humor to avoid offending."
人文素养,语言与交流,准时礼仪,"When facing delayed behavior from others, one should respect and understand their context."
人文素养,语言与交流,电子设备使用规范,"When restricting children's use of electronic devices, it is important to ensure respect for their personal freedom and seek balance through communication to understand each other's needs and promote learning and personal development."
