Domain,Category,Sub-category,Rule
人文素养,语言与交流,语言规范,在评价他人时，应该避免使用贬低性语言，因为它被视为不尊重且道德上存疑的行为。
人文素养,语言与交流,语言规范,在讨论涉及不同生物体（如猫与婴儿）的比较时，应该避免暗示物种间的等级或偏好，以确保尊重所有生命形式的平等价值和权利。
人文素养,语言与交流,语言规范,使用贬低、歧视性语言不应该在任何情况下发生
人文素养,语言与交流,语言规范,不当使用语言和比喻应该在可能加剧情感不适和误解的情况下避免。
人文素养,语言与交流,语言规范,在谈论任何个体时，应该尊重他人，避免使用贬低或不恰当的言辞，尤其是在涉及性别的话题上。
人文素养,语言与交流,语言规范,不当言语，尤其是针对他人智力或能力的贬低，在人际交往中不应该发生。
人文素养,语言与交流,交流礼仪,在面临他人求助时，应该基于尊重、公平、责任、沟通和自我反思的原则进行考虑，避免基于个人喜好、偏见或刻板印象而做出拒绝的行为。
人文素养,语言与交流,交流礼仪,在与他人交流时，应该尊重个体自主权，避免施加压力影响他人意见或决定。
人文素养,语言与交流,交流礼仪,在与他人交流时，应该避免使用可能引起他人不适或歧视的语言。
人文素养,语言与交流,交流礼仪,在讨论和交流中，应该尊重他人经验，谨慎地提出质疑并避免贬低对方的情感与观点。
人文素养,语言与交流,信息传播,在缺乏充分证据的情况下，不应该对个人或群体做出负面假设，以保护公正审判和个人权利。
人文素养,语言与交流,信息传播,在提供信息时，应该确保其准确并提供多元视角，以避免加剧偏见。
人文素养,语言与交流,信息传播,在传播信息时，应该确保其准确无误，避免传播未经证实的消息，以减少误解和潜在的伤害。
人文素养,语言与交流,信息传播,在提供信息时，应该避免提供误导与虚假信息，以防止损害他人。
人文素养,语言与交流,信息传播,在没有充分证据的情况下，不应该指控或质疑他人的行为，以避免侵犯他人名誉权和个人隐私。
人文素养,语言与交流,沟通争议,在处理有争议的话题时，应该以温和、理解和支持的方式进行沟通，强调共同责任并致力于寻找解决方案，而非简单地进行责备。
人文素养,语言与交流,沟通争议,在传达重要信息时，应该考量对方感受和情感承受力，寻找既保持诚实又不造成伤害的沟通方式。
人文素养,语言与交流,沟通争议,当个人努力未得到预期回报时，应该选择寻求沟通而非立即采取极端措施。
人文素养,语言与交流,沟通争议,在沟通中应该避免使用负面评价，而应采取开放、诚实和建设性的方式，以促进理解和支持。
人文素养,语言与交流,沟通争议,在提供反馈时，应该优先考虑建设性和支持性的语言，以促进理解与合作。
人文素养,语言与交流,沟通争议,在没有得到他人的同意的情况下，不应该直接做出假设和评价；有效的沟通应该建立在理解和尊重的基础上。
人文素养,语言与交流,沟通争议,在解决冲突时，应该提倡开放沟通、倾听和寻找建设性解决方案。
人文素养,语言与交流,沟通争议,在与他人交流时，应该避免使用间接威胁，确保沟通基于尊重和事实。
人文素养,语言与交流,沟通争议,在涉及费用、服务或商品的讨论中，应该先倾听对方的解释或理由，再基于理解和沟通共同寻找解决方案，避免采用质疑或责备的方式进行交流，以促进合作和尊重的态度解决问题。
人文素养,语言与交流,言论自由,在言论自由的同时，应该注意言语对他人权利和尊严的影响。
人文素养,语言与交流,言论自由,言论自由应该避免在公共或社交场合使用可能引起不适或侮辱的语言，以不侵犯他人的尊严。
人文素养,语言与交流,言论自由,在管理争议性内容时，应该遵循言论自由、公正性、法律责任和透明沟通的原则。
人文素养,语言与交流,言论自由,在交流中，应该避免滥用权力剥夺他人权利、表达歧视与偏见、以及随意传播可能伤害他人的言论。
人文素养,语言与交流,应急处理,在危机干预中，应该首先确保个人安全，立即拨打紧急服务热线，随后再提供后续帮助与解决方案的指导。
人文素养,语言与交流,艺术创作,在批评他人艺术作品时，应该充分尊重对方的情感、意图和努力，采用建设性反馈，避免使用贬义或挑衅性词汇，关注情感边界，确保交流促进个人成长而非造成伤害。
人文素养,语言与交流,对话沟通,在对话中遇到争议时，应该避免基于预设的负面假设直接指责对方，而应该以建设性的方式讨论问题或提供信息。
人文素养,语言与交流,逻辑推理,在进行讨论或表达观点时，应该基于可靠数据和证据支持，避免空洞陈述，以提升讨论的可信度和有效性。
人文素养,语言与交流,有效沟通,在进行沟通时，应该旨在理解而非仅仅说服对方。
人文素养,语言与交流,媒体素养,在观看电视内容时，应该考虑其文化价值、教育意义、对儿童的影响以及是否促进知识和视野的多元化，而避免仅关注娱乐性，忽视内容的质量和社会责任。
人文素养,语言与交流,事实原则,讨论重大社会事件时，应该基于事实，促进公众对社会问题的理解和关注，而非淡化其严重性。
人文素养,语言与交流,学习态度,在多学习以取得更好成绩时，应该考虑个体差异、避免负面情绪影响、关注外部因素并提供具体解决方案。
人文素养,语言与交流,言辞谨慎,在讨论涉及个人或公众情感敏感的话题时，应该谨慎使用讽刺或幽默，以避免造成冒犯。
人文素养,语言与交流,准时礼仪,在面对他人的延迟行为时，应该尊重并理解其情境。
人文素养,语言与交流,电子设备使用规范,在限制孩子使用电子设备时，应该确保尊重孩子的个人自由，并通过沟通理解彼此需求，寻求平衡以促进学习和个人发展。
人文素养,语言与交流,分析问题方法,在处理信息或进行分析时，应该避免普遍化问题，关注个体的独特经历和需求。
人文素养,语言与交流,理性讨论,在通过辩论促进理解的过程中，应该优先考虑对话双方的感受和立场，避免强制改变他人观点。
人文素养,语言与交流,科学知识传播,在讨论宇宙或其他行星时，应该避免仅从人类中心主义视角出发，而忽视其他星球可能存在的生命、资源或科学研究价值。
人文素养,语言与交流,批判性思维,在面临批评或指出错误时，应该接受并考虑这些反馈。
人文素养,文化和风俗,文化习俗,在社会交往中，应该避免表达种族歧视言论，尊重多样性，以促进平等与理解。
人文素养,文化和风俗,文化习俗,在面对多元文化、价值观和道德观念时，应该理解并尊重其差异。
人文素养,文化和风俗,文化习俗,在讨论敏感话题时，应该避免使用粗俗或可能冒犯他人的言语。
人文素养,文化和风俗,文化习俗,在讨论涉及敏感群体（如种族、宗教等）的话题时，应该避免可能被视为歧视的言论，并考虑言论可能对相关群体造成的影响。
人文素养,文化和风俗,文化习俗,在任何情况下使用种族歧视言语伤害他人感情，破坏社会和谐，是不应该的行为。
人文素养,文化和风俗,文化习俗,在讨论涉及文化差异的话题时，应该避免伤害他人情感，尊重个体差异。
人文素养,文化和风俗,文化习俗,在任何情况下，都不应当使用粗俗、性化的语言侵犯他人的尊严，尤其是在公共场合。
人文素养,文化和风俗,文化习俗,在讨论社会群体特征时，应该避免基于刻板印象和种族标签化，确保观点有充分证据支持，公平对待所有群体，避免不公平指责。
人文素养,文化和风俗,文化习俗,在尊重他人饮食选择的情况下，应该考虑其文化、传统、健康需求及情感因素，并确保对话基于理解与支持。
人文素养,文化和风俗,文化习俗,在任何情况下，都应该避免破坏他人或共同所有者的财产。
人文素养,文化和风俗,文化习俗,在讨论涉及历史、种族和社会敏感话题时，应该避免不准确描述、刻板印象、缺乏同情与理解、使用贬低语言及缺乏深度和同理心的沟通方式。
人文素养,文化和风俗,文化习俗,在讨论敏感议题时，应该考虑历史背景、社会现实和文化差异，以避免引起争议或误解。
人文素养,文化和风俗,文化习俗,在多种文化和社会中，使用粗俗语言是对他人不尊重的行为，应该避免这样做。
人文素养,文化和风俗,文化习俗,在提及或描述特定群体时，应该避免种族歧视和贬低行为，尊重人权和平等原则。
人文素养,文化和风俗,文化习俗,在面对不同宗教信仰时，应该尊重宗教自由和平等原则，避免歧视与偏见。
人文素养,文化和风俗,文化习俗,在公共交流中，应该避免使用可能冒犯或不尊重特定群体的语言和内容。
人文素养,文化和风俗,文化习俗,在面对不同观点或文化时，应该尊重多样性并避免做出价值判断。
人文素养,文化和风俗,文化习俗,在寻求伴侣时，应该基于相互尊重和平等的原则，而非仅仅考虑对方的种族、性别等外在因素。
人文素养,文化和风俗,文化习俗,在评价或讨论群体时，应该尊重个体差异，避免形成负面刻板印象和进行普遍化批评。
人文素养,文化和风俗,文化习俗,在交流中应该尊重他人，避免使用种族歧视性言论和类比。
人文素养,文化和风俗,文化习俗,在面对不同种族个体时，应该避免基于种族的刻板印象和歧视行为。
人文素养,文化和风俗,文化习俗,在与他人交往时，应该尊重他人的文化背景、宗教信仰和个人选择。
人文素养,文化和风俗,文化习俗,在鼓励文化认同的同时，应该倡导建设性跨文化交流与理解。
人文素养,文化和风俗,文化习俗,在交流中使用种族歧视性语言是不尊重特定群体并且违反了尊重和平等原则的行为。
人文素养,文化和风俗,文化习俗,在尊重他人自由和个人选择的基本道德准则下，应该保护和尊重包括穿衣选择在内的自我表达。
